DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IT,2009,64,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IT,2010,64.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IT,2011,64.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IT,2012,66.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IT,2013,66.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IT,2014,65.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IT,2015,66.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IT,2016,66.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IT,2017,67.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IT,2018,68.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IT,2019,69.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,IT,2020,72.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LI,2009,50,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LI,2010,45.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LI,2011,48.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LI,2012,44.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LI,2013,50.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LI,2014,51.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LI,2015,66.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LI,2016,65.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LI,2017,66.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LI,2018,68,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LI,2019,70,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LI,2020,72.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LT,2009,57.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LT,2010,60.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LT,2011,62.2,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LT,2012,62.2,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LT,2013,53.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LT,2014,57.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LT,2015,59.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LT,2016,69.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LT,2017,61.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LT,2018,60.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LT,2019,61.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LT,2020,61.8,b
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LU,2009,61,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LU,2010,66,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LU,2011,66,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LU,2012,62.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LU,2013,62.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LU,2014,66,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LU,2015,70,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LU,2016,70.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LU,2017,69.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LU,2018,70.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LU,2019,71.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LU,2020,71.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LV,2009,44.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LV,2010,48.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LV,2011,50.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LV,2012,51.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LV,2013,51,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LV,2014,54.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LV,2015,53.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LV,2016,57.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LV,2017,58.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LV,2018,55.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LV,2019,62.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,LV,2020,61.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,MT,2009,36,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,MT,2010,28.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,MT,2011,42.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,MT,2012,46.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,MT,2013,38.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,MT,2014,41.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,MT,2015,37.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,MT,2016,39.7,
